signal_name,timestamp_ms,value,message_id,message_name,unit,date,start_time
Set_Current,307,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,A,2026-03-10,20:55:31.285
Set_Current_Brake,307,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,A,2026-03-10,20:55:31.285
Set_Current,308,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,A,2026-03-10,20:55:31.285
Set_Current_Brake,308,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,A,2026-03-10,20:55:31.285
Set_Current,308,0.0,0x200,ECU_Set_Current_Rear_Inverter,A,2026-03-10,20:55:31.285
Set_Current_Brake,308,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,A,2026-03-10,20:55:31.285
APPS1_Throttle,309,195.0,0x202,ECU_Throttle,,2026-03-10,20:55:31.285
APPS2_Throttle,309,3916.0,0x202,ECU_Throttle,,2026-03-10,20:55:31.285
Front_Brake_Pressure,309,1565.0,0x203,ECU_Brake,,2026-03-10,20:55:31.285
Rear_Brake_Pressure,309,11.0,0x203,ECU_Brake,,2026-03-10,20:55:31.285
Brake_Pressed,309,0.0,0x203,ECU_Brake,,2026-03-10,20:55:31.285
Implausibility_Present,309,0.0,0x204,ECU_Implausibility,,2026-03-10,20:55:31.285
APPSs_Disagreement_Imp,309,0.0,0x204,ECU_Implausibility,,2026-03-10,20:55:31.285
BPPC_Imp,309,0.0,0x204,ECU_Implausibility,,2026-03-10,20:55:31.285
Brake_Invalid_Imp,309,0.0,0x204,ECU_Implausibility,,2026-03-10,20:55:31.285
APPSs_Invalid_Imp,309,0.0,0x204,ECU_Implausibility,,2026-03-10,20:55:31.285
BMS_Command,309,0.0,0x205,ECU_BMS_Command_Message,"0: IDLE
1: PRECHARGE
2: NEUTRAL
3: DRIVE
4: FAULT",2026-03-10,20:55:31.285
Drive_State,310,0.0,0x206,ECU_Drive_Status,"0: IDLE
1: PRECHARGE
2: NEUTRAL
3: DRIVE
4: FAULT",2026-03-10,20:55:31.285
Max_Discharge_Current,362,0.0,0x150,BMS_SOE,A,2026-03-10,20:55:31.285
Max_Regen_Current,362,0.0,0x150,BMS_SOE,A,2026-03-10,20:55:31.285
Battery_Voltage,362,60.0,0x150,BMS_SOE,V,2026-03-10,20:55:31.285
Battery_Temperature,362,26.0,0x150,BMS_SOE,C,2026-03-10,20:55:31.285
Battery_Current,362,0.0,0x150,BMS_SOE,,2026-03-10,20:55:31.285
InternalFault_Summary,362,0.0,0x151,BMS_Faults,,2026-03-10,20:55:31.285
External_Fault,362,1.0,0x151,BMS_Faults,,2026-03-10,20:55:31.285
Undervoltage_Fault,362,0.0,0x151,BMS_Faults,,2026-03-10,20:55:31.285
Overvoltage_Fault,362,0.0,0x151,BMS_Faults,,2026-03-10,20:55:31.285
Undertemperature_Fault,362,0.0,0x151,BMS_Faults,,2026-03-10,20:55:31.285
Overtemperature_Fault,362,0.0,0x151,BMS_Faults,,2026-03-10,20:55:31.285
Overcurrent_Fault,362,0.0,0x151,BMS_Faults,,2026-03-10,20:55:31.285
Open_Wire_Fault,362,0.0,0x151,BMS_Faults,,2026-03-10,20:55:31.285
Open_Wire_Temp_Fault,362,0.0,0x151,BMS_Faults,,2026-03-10,20:55:31.285
Pec_Fault,362,0.0,0x151,BMS_Faults,,2026-03-10,20:55:31.285
Total_PEC_Failures,362,0.0,0x151,BMS_Faults,,2026-03-10,20:55:31.285
BMS_State,362,0.0,0x152,BMS_Status,"State that the BMS is in:
Idle = 0,
Precharge = 1,
Active = 2,
Charge = 3,
Fault = 4",2026-03-10,20:55:31.285
IMD_State,362,1.0,0x152,BMS_Status,State of the IMD. High is Healthy ,2026-03-10,20:55:31.285
Max_Cell_Temp,362,27.0,0x152,BMS_Status,C,2026-03-10,20:55:31.285
Min_Cell_Temp,362,26.0,0x152,BMS_Status,C,2026-03-10,20:55:31.285
Max_Cell_Voltage,362,3.224,0x152,BMS_Status,V,2026-03-10,20:55:31.285
Min_Cell_Voltage,362,2.612,0x152,BMS_Status,V,2026-03-10,20:55:31.285
BMS_SOC,362,0.0,0x152,BMS_Status,,2026-03-10,20:55:31.285
Cell_V_0,362,3.2119999999999997,0x153,BMS_Voltages_0,V,2026-03-10,20:55:31.285
Cell_V_1,362,3.2119999999999997,0x153,BMS_Voltages_0,V,2026-03-10,20:55:31.285
Cell_V_2,362,3.2119999999999997,0x153,BMS_Voltages_0,V,2026-03-10,20:55:31.285
Cell_V_3,362,3.2119999999999997,0x153,BMS_Voltages_0,V,2026-03-10,20:55:31.285
Cell_V_4,362,3.1879999999999997,0x153,BMS_Voltages_0,V,2026-03-10,20:55:31.285
Cell_V_5,362,3.224,0x153,BMS_Voltages_0,V,2026-03-10,20:55:31.285
Cell_V_6,362,3.2119999999999997,0x153,BMS_Voltages_0,V,2026-03-10,20:55:31.285
Cell_OCV_Offset_0,362,0.0,0x153,BMS_Voltages_0,V,2026-03-10,20:55:31.285
Cell_V_7,363,3.224,0x154,BMS_Voltages_1,V,2026-03-10,20:55:31.285
Cell_V_8,363,3.2119999999999997,0x154,BMS_Voltages_1,V,2026-03-10,20:55:31.285
Cell_V_9,363,3.224,0x154,BMS_Voltages_1,V,2026-03-10,20:55:31.285
Cell_V_10,363,3.224,0x154,BMS_Voltages_1,V,2026-03-10,20:55:31.285
Cell_V_11,363,2.612,0x154,BMS_Voltages_1,V,2026-03-10,20:55:31.285
Cell_V_12,363,3.2119999999999997,0x154,BMS_Voltages_1,V,2026-03-10,20:55:31.285
Cell_V_13,363,3.2119999999999997,0x154,BMS_Voltages_1,V,2026-03-10,20:55:31.285
Cell_OCV_Offset_1,363,0.0,0x154,BMS_Voltages_1,V,2026-03-10,20:55:31.285
Cell_V_14,363,3.2119999999999997,0x155,BMS_Voltages_2,V,2026-03-10,20:55:31.285
Cell_V_15,363,3.2119999999999997,0x155,BMS_Voltages_2,V,2026-03-10,20:55:31.285
Cell_V_16,363,3.1879999999999997,0x155,BMS_Voltages_2,V,2026-03-10,20:55:31.285
Cell_V_17,363,3.224,0x155,BMS_Voltages_2,V,2026-03-10,20:55:31.285
Cell_V_18,363,3.2119999999999997,0x155,BMS_Voltages_2,V,2026-03-10,20:55:31.285
Cell_V_19,363,3.224,0x155,BMS_Voltages_2,V,2026-03-10,20:55:31.285
Cell_V_20,363,3.2119999999999997,0x155,BMS_Voltages_2,V,2026-03-10,20:55:31.285
Cell_OCV_Offset_2,363,0.0,0x155,BMS_Voltages_2,V,2026-03-10,20:55:31.285
Cell_T_0,363,26.0,0x167,BMS_Temperatures_0,C,2026-03-10,20:55:31.285
Cell_T_1,363,27.0,0x167,BMS_Temperatures_0,C,2026-03-10,20:55:31.285
Cell_T_2,363,27.0,0x167,BMS_Temperatures_0,C,2026-03-10,20:55:31.285
Cell_T_3,363,27.0,0x167,BMS_Temperatures_0,C,2026-03-10,20:55:31.285
Cell_T_4,363,27.0,0x167,BMS_Temperatures_0,C,2026-03-10,20:55:31.285
Cell_T_5,363,27.0,0x167,BMS_Temperatures_0,C,2026-03-10,20:55:31.285
Cell_T_6,363,27.0,0x167,BMS_Temperatures_0,C,2026-03-10,20:55:31.285
Cell_T_7,363,26.0,0x167,BMS_Temperatures_0,C,2026-03-10,20:55:31.285
Cell_T_8,363,26.0,0x168,BMS_Temperatures_1,C,2026-03-10,20:55:31.285
Cell_T_9,363,26.0,0x168,BMS_Temperatures_1,C,2026-03-10,20:55:31.285
Cell_T_10,363,26.0,0x168,BMS_Temperatures_1,C,2026-03-10,20:55:31.285
Cell_T_11,363,26.0,0x168,BMS_Temperatures_1,C,2026-03-10,20:55:31.285
Cell_T_12,363,26.0,0x168,BMS_Temperatures_1,C,2026-03-10,20:55:31.285
Cell_T_13,363,26.0,0x168,BMS_Temperatures_1,C,2026-03-10,20:55:31.285
Cell_T_14,363,26.0,0x168,BMS_Temperatures_1,C,2026-03-10,20:55:31.285
Cell_T_15,363,26.0,0x168,BMS_Temperatures_1,C,2026-03-10,20:55:31.285
Set_Current,407,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,A,2026-03-10,20:55:31.285
Set_Current_Brake,407,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,A,2026-03-10,20:55:31.285
Set_Current,408,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,A,2026-03-10,20:55:31.285
Set_Current_Brake,408,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,A,2026-03-10,20:55:31.285
Set_Current,408,0.0,0x200,ECU_Set_Current_Rear_Inverter,A,2026-03-10,20:55:31.285
Set_Current_Brake,408,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,A,2026-03-10,20:55:31.285
APPS1_Throttle,409,195.0,0x202,ECU_Throttle,,2026-03-10,20:55:31.285
APPS2_Throttle,409,3916.0,0x202,ECU_Throttle,,2026-03-10,20:55:31.285
Front_Brake_Pressure,409,1567.0,0x203,ECU_Brake,,2026-03-10,20:55:31.285
Rear_Brake_Pressure,409,14.0,0x203,ECU_Brake,,2026-03-10,20:55:31.285
Brake_Pressed,409,0.0,0x203,ECU_Brake,,2026-03-10,20:55:31.285
Implausibility_Present,409,0.0,0x204,ECU_Implausibility,,2026-03-10,20:55:31.285
APPSs_Disagreement_Imp,409,0.0,0x204,ECU_Implausibility,,2026-03-10,20:55:31.285
BPPC_Imp,409,0.0,0x204,ECU_Implausibility,,2026-03-10,20:55:31.285
Brake_Invalid_Imp,409,0.0,0x204,ECU_Implausibility,,2026-03-10,20:55:31.285
APPSs_Invalid_Imp,409,0.0,0x204,ECU_Implausibility,,2026-03-10,20:55:31.285
BMS_Command,409,0.0,0x205,ECU_BMS_Command_Message,"0: IDLE
1: PRECHARGE
2: NEUTRAL
3: DRIVE
4: FAULT",2026-03-10,20:55:31.285
Drive_State,410,0.0,0x206,ECU_Drive_Status,"0: IDLE
1: PRECHARGE
2: NEUTRAL
3: DRIVE
4: FAULT",2026-03-10,20:55:31.285
Set_Current,507,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,A,2026-03-10,20:55:31.285
Set_Current_Brake,508,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,A,2026-03-10,20:55:31.285
Set_Current,508,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,A,2026-03-10,20:55:31.285
Set_Current_Brake,508,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,A,2026-03-10,20:55:31.285
Set_Current,508,0.0,0x200,ECU_Set_Current_Rear_Inverter,A,2026-03-10,20:55:31.285
Set_Current_Brake,509,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,A,2026-03-10,20:55:31.285
