signal_name,timestamp_ms,value,message_id,message_name,unit,date,start_time
Strain_Gauge,386,172147.0,0x538,BR_Broker_Sus,ADC Values,2026-03-07,20:33:03.148
Sus_Pot,386,372.0,0x538,BR_Broker_Sus,ADC Values,2026-03-07,20:33:03.148
Set_Current,407,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,A,2026-03-07,20:33:03.148
Set_Current_Brake,407,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,A,2026-03-07,20:33:03.148
Set_Current,408,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,A,2026-03-07,20:33:03.148
Set_Current_Brake,408,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,A,2026-03-07,20:33:03.148
Set_Current,408,0.0,0x200,ECU_Set_Current_Rear_Inverter,A,2026-03-07,20:33:03.148
Set_Current_Brake,408,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,A,2026-03-07,20:33:03.148
APPS1_Throttle,409,195.0,0x202,ECU_Throttle,,2026-03-07,20:33:03.148
APPS2_Throttle,409,3914.0,0x202,ECU_Throttle,,2026-03-07,20:33:03.148
Front_Brake_Pressure,409,1565.0,0x203,ECU_Brake,,2026-03-07,20:33:03.148
Rear_Brake_Pressure,409,181.0,0x203,ECU_Brake,,2026-03-07,20:33:03.148
Brake_Pressed,409,0.0,0x203,ECU_Brake,,2026-03-07,20:33:03.148
Implausibility_Present,409,0.0,0x204,ECU_Implausibility,,2026-03-07,20:33:03.148
APPSs_Disagreement_Imp,409,0.0,0x204,ECU_Implausibility,,2026-03-07,20:33:03.148
BPPC_Imp,409,0.0,0x204,ECU_Implausibility,,2026-03-07,20:33:03.148
Brake_Invalid_Imp,409,0.0,0x204,ECU_Implausibility,,2026-03-07,20:33:03.148
APPSs_Invalid_Imp,409,0.0,0x204,ECU_Implausibility,,2026-03-07,20:33:03.148
BMS_Command,409,0.0,0x205,ECU_BMS_Command_Message,"0: IDLE
1: PRECHARGE
2: NEUTRAL
3: DRIVE
4: FAULT",2026-03-07,20:33:03.148
Drive_State,410,0.0,0x206,ECU_Drive_Status,"0: IDLE
1: PRECHARGE
2: NEUTRAL
3: DRIVE
4: FAULT",2026-03-07,20:33:03.148
Strain_Gauge,416,170927.0,0x538,BR_Broker_Sus,ADC Values,2026-03-07,20:33:03.148
Sus_Pot,416,370.0,0x538,BR_Broker_Sus,ADC Values,2026-03-07,20:33:03.148
Strain_Gauge,446,169582.0,0x538,BR_Broker_Sus,ADC Values,2026-03-07,20:33:03.148
Sus_Pot,446,371.0,0x538,BR_Broker_Sus,ADC Values,2026-03-07,20:33:03.148
Strain_Gauge,476,169582.0,0x538,BR_Broker_Sus,ADC Values,2026-03-07,20:33:03.148
Sus_Pot,476,371.0,0x538,BR_Broker_Sus,ADC Values,2026-03-07,20:33:03.148
Strain_Gauge,506,169582.0,0x538,BR_Broker_Sus,ADC Values,2026-03-07,20:33:03.148
Sus_Pot,506,372.0,0x538,BR_Broker_Sus,ADC Values,2026-03-07,20:33:03.148
Set_Current,507,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,A,2026-03-07,20:33:03.148
Set_Current_Brake,508,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,A,2026-03-07,20:33:03.148
Set_Current,508,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,A,2026-03-07,20:33:03.148
Set_Current_Brake,508,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,A,2026-03-07,20:33:03.148
Set_Current,508,0.0,0x200,ECU_Set_Current_Rear_Inverter,A,2026-03-07,20:33:03.148
Set_Current_Brake,509,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,A,2026-03-07,20:33:03.148
APPS1_Throttle,509,195.0,0x202,ECU_Throttle,,2026-03-07,20:33:03.148
APPS2_Throttle,509,3917.0,0x202,ECU_Throttle,,2026-03-07,20:33:03.148
Front_Brake_Pressure,509,1566.0,0x203,ECU_Brake,,2026-03-07,20:33:03.148
Rear_Brake_Pressure,509,183.0,0x203,ECU_Brake,,2026-03-07,20:33:03.148
Brake_Pressed,509,0.0,0x203,ECU_Brake,,2026-03-07,20:33:03.148
Implausibility_Present,509,0.0,0x204,ECU_Implausibility,,2026-03-07,20:33:03.148
APPSs_Disagreement_Imp,509,0.0,0x204,ECU_Implausibility,,2026-03-07,20:33:03.148
BPPC_Imp,509,0.0,0x204,ECU_Implausibility,,2026-03-07,20:33:03.148
Brake_Invalid_Imp,509,0.0,0x204,ECU_Implausibility,,2026-03-07,20:33:03.148
