signal_name,timestamp_ms,value,message_id,message_name,sender,unit,date,start_time
Set_Current_Front_Left_Inverter,566,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Brake_Front_Left_Inverter,566,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Front_Right_Inverter,566,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Brake_Front_Right_Inverter,566,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Rear_Inverter,567,0.0,0x200,ECU_Set_Current_Rear_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Brake_Rear_Inverter,567,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,ECU,A,2026-05-10,18:54:34.140
APPS1_Throttle,567,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,18:54:34.140
APPS2_Throttle,567,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,18:54:34.140
Front_Brake_Pressure,567,621.0,0x203,ECU_Brake,ECU,,2026-05-10,18:54:34.140
Rear_Brake_Pressure,567,413.0,0x203,ECU_Brake,ECU,,2026-05-10,18:54:34.140
Brake_Pressed,567,0.0,0x203,ECU_Brake,ECU,,2026-05-10,18:54:34.140
Set_Current_Front_Left_Inverter,576,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Brake_Front_Left_Inverter,576,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Front_Right_Inverter,576,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Brake_Front_Right_Inverter,576,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Rear_Inverter,577,0.0,0x200,ECU_Set_Current_Rear_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Brake_Rear_Inverter,577,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,ECU,A,2026-05-10,18:54:34.140
APPS1_Throttle,577,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,18:54:34.140
APPS2_Throttle,577,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,18:54:34.140
Front_Brake_Pressure,577,621.0,0x203,ECU_Brake,ECU,,2026-05-10,18:54:34.140
Rear_Brake_Pressure,577,413.0,0x203,ECU_Brake,ECU,,2026-05-10,18:54:34.140
Brake_Pressed,577,0.0,0x203,ECU_Brake,ECU,,2026-05-10,18:54:34.140
Set_Current_Front_Left_Inverter,586,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Brake_Front_Left_Inverter,586,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Front_Right_Inverter,586,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Brake_Front_Right_Inverter,586,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Rear_Inverter,587,0.0,0x200,ECU_Set_Current_Rear_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Brake_Rear_Inverter,587,0.0,0x201,ECU_Set_Current_Brake_Rear_Inverter,ECU,A,2026-05-10,18:54:34.140
APPS1_Throttle,587,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,18:54:34.140
APPS2_Throttle,587,0.0,0x202,ECU_Throttle,ECU,,2026-05-10,18:54:34.140
Front_Brake_Pressure,587,621.0,0x203,ECU_Brake,ECU,,2026-05-10,18:54:34.140
Rear_Brake_Pressure,587,413.0,0x203,ECU_Brake,ECU,,2026-05-10,18:54:34.140
Brake_Pressed,587,0.0,0x203,ECU_Brake,ECU,,2026-05-10,18:54:34.140
Set_Current_Front_Left_Inverter,596,0.0,0x20D,ECU_Set_Current_Front_Left_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Brake_Front_Left_Inverter,596,0.0,0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Front_Right_Inverter,596,0.0,0x20F,ECU_Set_Current_Front_Right_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Brake_Front_Right_Inverter,596,0.0,0x210,ECU_Set_Current_Brake_Front_Right_Inverter,ECU,A,2026-05-10,18:54:34.140
Set_Current_Rear_Inverter,597,0.0,0x200,ECU_Set_Current_Rear_Inverter,ECU,A,2026-05-10,18:54:34.140
